2300,63,2,159,10,859,20,2.8,2,2,3,2,5,1,Beautiful Alleppey Tours Two Bedroom
3700,85,3,86,16,327,11,4.2,4,5,1,1,5,1,Ashiyana
1000,44,1,40,13,493,8,4,3,3,3,1,5,5,ASHIRWAD LODGING
1200,75,1,36,35,520,12,3.7,4,1,4,3,5,4,Aqua Marina Drive Inn
2600,66,2,22,22,702,37,4.7,2,3,2,4,3,4,Annai Illam Guest House
3750,90,3,170,18,644,15,4.2,2,4,3,5,1,5,Bella Marina Villa
3650,87,3,90,17,376,16,4.3,1,2,4,4,2,4,ATOM Guest House
1200,55,1,135,42,388,23,3,4,4,5,1,5,3,Bendmeer Group of House Boat and Resorts
2500,43,2,142,42,649,23,2,2,2,3,4,2,2,Balaji Resorts
3400,72,3,26,9,466,31,4,1,3,5,2,5,4,Asha Sukha Nivas Laudge
3600,100,3,113,21,494,28,3.1,5,1,2,1,4,4,AR Suites Fontana Bay
4100,100,4,155,25,501,20,2.9,1,5,4,4,4,5,Atithi Cottages
2100,66,2,150,31,369,12,3,1,5,2,4,5,4,Aurick Hotel
3050,82,3,152,22,472,33,3.7,1,4,2,2,4,1,Anugraha Deluxe Hotel
2400,60,2,198,6,653,44,5,3,1,1,2,3,1,Best Western Plus Ekobarn
5000,66,5,167,6,431,55,1,4,3,5,3,4,1,Aura Vaseela
1500,77,1,123,23,730,66,4,2,4,4,1,3,2,Anupam Resorts
3600,88,3,41,21,311,2,3,2,1,2,4,4,3,Atharv Coastal End Guest House
2400,40,2,149,19,417,33,5,4,2,3,1,4,1,Badrish
2500,62,2,155,13,429,35,3.1,1,3,4,1,1,4,Balaji Inn
2700,66,2,88,33,585,41,2.7,2,1,3,4,3,4,Ashokas Naini Chalet
2600,55,2,144,11,414,1,5,3,3,4,5,3,2,Apex Residency
2400,57,2,38,36,653,50,3.6,5,2,5,5,3,5,Bens Houseboats 
3000,84,3,175,37,528,49,4.3,1,4,5,1,3,2,BE MY GUEST
3150,74,3,94,7,721,27,3.7,1,2,2,5,2,4,AVNB Towers
1500,64,1,141,12,390,31,1,5,1,5,5,3,4,ATITHI RESIDENCY
3400,79,3,72,43,547,27,4.1,3,2,1,3,4,3,AROMA
4150,80,4,105,45,852,50,5,3,1,5,4,1,2,Bahar Homestay
3500,100,3,42,39,749,24,5,4,2,1,2,4,3,BEACH HOTEL
3150,69,3,42,16,641,12,5,2,4,3,1,1,4,Arjun Villa
3150,79,3,32,41,523,5,3,1,1,1,5,2,5,Awesome Palace
2500,77,2,82,41,635,31,4,2,1,5,5,4,3,Arpanaa Hotel
4100,33,4,63,41,615,18,2,5,4,5,3,5,3,Athidhi Guest House
2500,66,2,195,45,614,17,3,3,1,1,5,1,2,Astoria Hotel
2700,80,2,165,45,751,16,4,2,2,4,5,4,5,Bhagirathi Palace
